Comments,label
How to stop the war Stop the media escalating it,1
WW1 : History Books WW2 : History Books WW3 : Youtube Streaming...😎,1
Let the politicians go to war and soldiers take rest this time.,1
We'll be praying for the peace of everyone....from Philippines,1
We are praying that this won't go too far. Blessings to everyone from Hungary.,1
This year is going to be interesting,1
USA vs Iran = Iraq suffers War freaks should fight their wars in their own lands. 😡,1
Sort it out like men. Have a boxing match instead of war,1
"3:00 - She said “I hope the revenge continues..,” then Iran shoots down the Ukrainian airliner with Canadians and Iranians on board..,",1
They shot that plane down the evidence is in its self,1
Adam seidal sure revenge on me 🔥🚩.,1
"2:20 ""Afterward for the leaders came a chance to save face, claim victory and step back"" lol....",1
The press is the enemy of all people that live in a country that is involved in a military conflict,1
"It's funny to me that any one would call The US 🇺🇸 and Iran 🇮🇷, Ah War. 😆 come on the US 🇺🇸 would DISTROY, Iran In just a couple of day maybe hours, 😆 Iran 🇮🇷 going into War US 🇺🇸 😆 you couldn't call it a War, maybe you could call it a rearranging the Map no more Iran xxx",1
"""The war is in EurAsia. It has always been in EurAsia""- 1984, Orwell",1
"I imagine russia like Bill Hader eating pop corn and be liek “ Nah man im been doin this for more than 70 years with the US , just gonna sit this one out “",1
people who want war are behind doors and who don't are at the front.,1
This news sounds so pushed and scaremongering to the max !!,1
It is so obvious due to the timing that Iran accidentally shot it down,1
Why wouldn’t America and iran be friends that’s what I want them to be,1
"UPDATE: footage has been released that proves it was shot down by iran missile, officials have confirmed",1
In the Middle East well uhhh I’m going to Canada with my grandparents,1
If revenge means launching missile on sands.. lol... Good luck with that,1
2:58 Nice way to put it,1
Jhin maccain,1
Ensure the media keeps W.A.R. in its headlines. And soon it will come. 🙂...,1
Me: I know how to stop this potential war shut up that we’ll make it better,1
Sack the thumbnail guy,1
Iranian Forces Shoot Down Commercial Airliner Killing 176 Innocent Civilians BARBARIC,1
Stay safe love from Nepal 🇳🇵,1
"they had to shoot something to uphold their own power in iran, they missed the barracks on purpose and our military and trump knows this , and this is why there is no counter to that",1
"Dam, I hope everyone can work things out And I deeply hope WW3 Dosent start any time soon...*#Peace4Everyone*#",1
"All these events look like as somebody plays at ""Supreme ruler 2020""",1
3:41 can this lady on the bottom left see something from her burka? :/,1
possession is still only 9/10th of the law he couldn't keep it :P,1
SOLEIMANI KILLED MANY AMERICANS US KILLED SOLEIMANI IRAN KILLED Own people and canadians 176 .,1
3:00 someone rides the short bus 🤣🤣🤣🤣,1
This is an old Hollywood trick. Called forced perspective lol.,1
At the end of the day all I gotta say is they started it first if war does break out I just dont want innocent kids and people getting involved if it does like why cant the leaders that have a problem with eachother go to war fight themselves one on one not just having us USA and Iran soldiers do it just let the leaders go toe to toe let's just grab them both and throw them in the pit together and fight it out people kids dont deserve to die cause they beefing,1
"Can someone explain what Trump is doing to Iran, I don’t really understand :/",1
Was accepting a damm better 2020 Me: shitt I see the starting alrdy,1
3:10 that's the democratic convention,1
I hear the Iraqis say mashallah?! it means nice nice?! who is translating for these people?,1
20 20 vision,1
I will go to the middle of the war and I say 🤞 and fire works 🤞,1
"Luckily i wont be drafted if we do go to war, im freaking weak as heck!",1
This will be a good movie I know there going to turn this into one,1
We should know that All or most leaders of the world Lead pure people into useless wars While their sons and daughters Are relaxing!!!,1
WAR START!!!,1
Dang I'm getting a star wars episode 3 VIBE,1
"I don't know about you but, when I see missels flying all over the place that is a sign of war to me....hello",1
Ou va le monde 😕,1
War before election ? Same kind of issue had happened before Indian election I guess propaganda always win,1
10:30 British Hillary and Trump,1
Every news i watch they mention a different # of missiles,1
Be prepared and keep safe our beloved overseas filipino workers 🌍✌️,1
Revenge For Iran!,1
War would be the only solution 👌🏻👌🏻,1
Laado Bencho Laado Bencho,1
"they call that ""Severe Retaliation""",1
"This is a bit late coverage, isn't it?",1
I really hope war doesn't start,1
Imagine what will happen if I got 500k in the next 48 hours ? Automatically life will be change. Can you do that ?,1
War no good just peace and love ❤󾓪󾓪󾓪,1
And johnson well cant believe anything he says. Hes just a liar. Not afraid of talking now is he,1
"WAR MEANS MONEY, THAT IS THE REASON FOR IT, HOW SAD THAT HUMANS SEE PEOPLE AS MONEY MAKERS ONLY😢!",1
I wish we have a good 2020 year,1
Remember when Trump wanted out of the Middle East? The US is addicted to the Middle East,1
"Been waiting for long time, yes !",1
Yarahmahmukullah let's get it baby ❗#rockwitwhoyoucamewutonehunnedfitty,1
"I hope that the leaders Love for his people (children's and women) will prevail, May they stand to protect , harm no one, and let go of ego's.",1
"Ah yes, we started 2020 with a bang are we",1
So amazing nobody die and injury.,1
Love our Father in heaven.,1
War.. ...!!!!,1
WWIII Damee Im Ready...,1
"Matthew 24:6-7 New International Version (NIV) 6 You will hear of wars and rumors of wars, but see to it that you are not alarmed. Such things must happen, but the end is still to come.7 Nation will rise against nation, and kingdom against kingdom. There will be famines and earthquakes in various places. 1 Thessalonians 5:3 While people are saying, ""Peace and safety,"" destruction will come on them suddenly, as labor pains on a pregnant woman, and they will not escape. Luke 21:11 King James Version 11 And great earthquakes shall be in divers places, and famines, and pestilences; and fearful sights and great signs shall there be from heaven.",1
